title,author,publisher,pub_date,price,score,image_src,image_name
실무 예제로 배우는 데이터 공학,폴 크리커드,제이펍,2021년 07월,"24,300",9,https://image.yes24.com/goods/102628179/L,102628179
파이썬 웹 프로그래밍,김석훈,한빛미디어,2018년 08월,"19,800",8.5,https://image.yes24.com/goods/63503495/L,63503495
진지한 파이썬,쥘래앵 당주,한빛미디어,2021년 01월,"25,200",8.4,https://image.yes24.com/goods/96789375/L,96789375
파이썬을 이용한 딥러닝/강화학습 주식투자,퀀티랩,위키북스,2022년 03월,"27,000",,https://image.yes24.com/goods/108251432/L,108251432
AWS로 시작하는 AI 서비스 with 파이썬,이노우에 켄이치,영진닷컴,2021년 11월,"19,800",10,https://image.yes24.com/goods/104491169/L,104491169
파이썬으로 배우는 게임 개발 실전편,히로세 츠요시,제이펍,2020년 11월,"27,000",10,https://image.yes24.com/goods/95275924/L,95275924
효율적 개발로 이끄는 파이썬 실천 기술,스야마 레이,제이펍,2021년 04월,"19,800",9.1,https://image.yes24.com/goods/99123748/L,99123748
한 권으로 끝내는 파이썬 인공지능 입문+실전 [종합편],서민우,앤써북,2021년 09월,"20,700",10,https://image.yes24.com/goods/103740174/L,103740174
파이썬 데이터 사이언스 핸드북,제이크 밴더플래스,위키북스,2017년 09월,"34,200",8,https://image.yes24.com/goods/50330345/L,50330345
알 스웨이가트의 파이썬 프로젝트,알 스웨이가트,제이펍,2022년 02월,"25,200",10,https://image.yes24.com/goods/107072661/L,107072661
파이썬 딥러닝 텐서플로,오승환,정보문화사,2021년 06월,"24,300",9.7,https://image.yes24.com/goods/102603640/L,102603640
파이썬으로 배우는 누구나 코딩,강환수,홍릉과학출판사,2019년 08월,"25,000",6,https://image.yes24.com/goods/78495227/L,78495227
당신의 칼퇴를 도와주는 UiPath 업무 자동화,김수환,비제이퍼블릭(BJ퍼블릭),2021년 07월,"25,200",10,https://image.yes24.com/goods/102848801/L,102848801
파이썬으로 데이터 주무르기,민형기,비제이퍼블릭(BJ퍼블릭),2017년 12월,"24,750",8.6,https://image.yes24.com/goods/57670268/L,57670268
지능 기반 의료를 위한 헬스케어 애널리틱스,비카스 쿠마르,에이콘출판사,2021년 11월,"27,000",,https://image.yes24.com/goods/105103713/L,105103713
클린 코드를 위한 테스트 주도 개발,해리 J.W. 퍼시벌,비제이퍼블릭(BJ퍼블릭),2015년 03월,"30,600",,https://image.yes24.com/goods/16886031/L,16886031
6개월 치 업무를 하루 만에 끝내는 업무 자동화,반병현,생능출판사,2020년 12월,"25,200",9.4,https://image.yes24.com/goods/96360166/L,96360166
파이썬과 대스크를 활용한 고성능 데이터 분석,제시 대니얼,한빛미디어,2020년 10월,"25,200",9.3,https://image.yes24.com/goods/92903130/L,92903130
머신 러닝·딥 러닝에 필요한 기초 수학 with 파이썬,조준우,인사이트(insight),2020년 11월,"24,300",10,https://image.yes24.com/goods/94433523/L,94433523
고전 컴퓨터 알고리즘 인 파이썬,데이비드 코펙,한빛미디어,2019년 12월,"22,500",9.2,https://image.yes24.com/goods/83532292/L,83532292
파이썬 웹 스크래핑 2/e,캐서린 자멀,에이콘출판사,2018년 12월,"22,500",,https://image.yes24.com/goods/67533263/L,67533263
처음 만나는 파이썬,가마타 마사히로,제이펍,2017년 03월,"19,800",9.4,https://image.yes24.com/goods/38097960/L,38097960
알고리즘 구현으로 배우는 선형대수 with 파이썬,장철원,비제이퍼블릭(BJ퍼블릭),2021년 12월,"30,600",9.8,https://image.yes24.com/goods/105772247/L,105772247
파이썬으로 배우는 자연어 처리 인 액션,홉슨 레인,제이펍,2020년 03월,"31,500",9.5,https://image.yes24.com/goods/89232661/L,89232661
초보자도 간단히 단숨에 배우는 파이썬,조인석,터닝포인트,2020년 04월,"14,220",9.9,https://image.yes24.com/goods/89555053/L,89555053
파이썬 기반 강화학습 알고리듬,안드레아 론자,에이콘출판사,2021년 08월,"27,000",,https://image.yes24.com/goods/102950449/L,102950449
파이썬으로 풀어보는 수학,아미트 사하,에이콘출판사,2016년 06월,"22,500",,https://image.yes24.com/goods/28806986/L,28806986
파이썬 데이터 과학 통계 학습,황보현우,정보문화사,2021년 05월,"26,100",9.6,https://image.yes24.com/goods/101891366/L,101891366
따라하며 배우는 파이썬과 데이터 과학,천인국,생능출판사,2020년 12월,"26,000",10,https://image.yes24.com/goods/96555988/L,96555988
파이썬을 활용한 네트워크 프로그래밍,파루크 사커,에이콘출판사,2015년 01월,"27,000",,https://image.yes24.com/goods/15852554/L,15852554
누구나 파이썬 통계분석,타니아이 히로키,한빛아카데미,2020년 04월,"24,700",7.5,https://image.yes24.com/goods/89972967/L,89972967
파이썬 모의 해킹과 침투 테스팅,모히트,에이콘출판사,2015년 11월,"18,000",6,https://image.yes24.com/goods/23093894/L,23093894
프로그래밍이 보인다! 파이썬 입문,제이미 챈,에이콘출판사,2015년 09월,"12,600",,https://image.yes24.com/goods/20256738/L,20256738
파이썬과 기계 학습,"라울 가레타, 기예르모 몬세치",에이콘출판사,2015년 12월,"12,600",,https://image.yes24.com/goods/23559915/L,23559915
유쾌한 파이썬,오현석,에이콘출판사,2015년 11월,"21,600",,https://image.yes24.com/goods/23203039/L,23203039
파이썬으로 시작하는 캐글,이시하라 쇼타로,제이펍,2021년 04월,"16,200",10,https://image.yes24.com/goods/99028600/L,99028600
파이썬 알고리즘,최영규,생능출판사,2021년 01월,"27,000",3,https://image.yes24.com/goods/97119739/L,97119739
파이썬과 함께 하는 수학 어드벤처,피터 파렐,에이콘출판사,2020년 01월,"27,000",,https://image.yes24.com/goods/85961642/L,85961642
파이썬 성능 높이기 2/e,가브리엘레 라나로,에이콘출판사,2018년 11월,"25,200",,https://image.yes24.com/goods/66986784/L,66986784
미국 주식으로 시작하는 슬기로운 퀀트투자,김용환,한빛미디어,2021년 09월,"28,800",9.6,https://image.yes24.com/goods/103915601/L,103915601
핸즈온 비지도 학습,안쿠르 A. 파텔,한빛미디어,2020년 07월,"30,600",9,https://image.yes24.com/goods/91119565/L,91119565
쉽게 배우는 자료구조 with 파이썬,문병로,한빛아카데미,2022년 01월,"29,000",10,https://image.yes24.com/goods/106400308/L,106400308
모두의 데이터 과학 with 파이썬,드미트리 지노비에프,길벗,2017년 07월,"19,800",9.5,https://image.yes24.com/goods/43633333/L,43633333
파이썬으로 배우는 머신러닝의 교과서,이토 마코토,한빛미디어,2018년 11월,"26,100",8,https://image.yes24.com/goods/66317993/L,66317993
처음 시작하는 딥러닝,세스 와이드먼,한빛미디어,2020년 08월,"20,700",8.7,https://image.yes24.com/goods/91738196/L,91738196
초보자를 위한 아파치 스파크 2,라자나라야난 토투바이카투마나,에이콘출판사,2018년 01월,"27,000",,https://image.yes24.com/goods/58038004/L,58038004
파이썬을 활용한 생명정보학 2/e,티아구 안타오,에이콘출판사,2019년 12월,"32,400",,https://image.yes24.com/goods/84938746/L,84938746
파이썬으로 만드는 OpenCV 프로젝트,이세우,인사이트(insight),2019년 03월,"32,400",,https://image.yes24.com/goods/71534451/L,71534451
게임으로 배우는 파이썬,다나카 겐이치로,영진닷컴,2019년 03월,"15,300",9.5,https://image.yes24.com/goods/70916900/L,70916900
Two Scoops of Django,대니얼 로이 그린펠드,인사이트(insight),2016년 08월,"28,800",9,https://image.yes24.com/goods/30355215/L,30355215
어서와 파이썬은 처음이지!,천인국,인피니티북스,2016년 08월,"29,000",,https://image.yes24.com/goods/30575427/L,30575427
파이썬으로 코딩하는 물리,송오영,21세기사,2021년 03월,"29,000",,https://image.yes24.com/goods/97676769/L,97676769
파이썬을 활용한 소프트웨어 아키텍처,아난드 발라찬드라 필라이,에이콘출판사,2020년 12월,"36,000",,https://image.yes24.com/goods/96364238/L,96364238
시간순삭 파이썬,천인국,생능북스,2020년 08월,"19,800",9.9,https://image.yes24.com/goods/92087970/L,92087970
